iter	Passed	Remaining
844	3560	653
845	3564	648
846	3568	644
847	3572	640
848	3576	636
849	3580	631
850	3584	627
851	3588	623
852	3592	619
853	3596	614
854	3600	610
855	3603	606
856	3607	602
857	3611	597
858	3615	593
859	3619	589
860	3623	584
861	3627	580
862	3631	576
863	3634	572
864	3638	567
865	3642	563
866	3646	559
867	3650	555
868	3654	550
869	3657	546
870	3661	542
871	3665	538
872	3688	536
873	3692	532
874	3695	527
875	3699	523
876	3703	519
877	3707	515
878	3711	510
879	3715	506
880	3719	502
881	3723	498
882	3726	493
883	3730	489
884	3734	485
885	3738	480
886	3742	476
887	3745	472
888	3749	468
889	3754	463
890	3757	459
891	3761	455
892	3765	451
893	3769	446
894	3773	442
895	3777	438
896	3780	434
897	3784	429
898	3788	425
899	3792	421
900	3804	418
901	3808	413
902	3811	409
903	3816	405
904	3820	401
905	3824	396
906	3828	392
907	3832	388
908	3836	384
909	3840	379
910	3844	375
911	3848	371
912	3852	367
913	3856	362
914	3860	358
915	3864	354
916	3868	350
917	3872	345
918	3876	341
919	3880	337
920	3884	333
921	3888	328
922	3892	324
923	3896	320
924	3900	316
925	3904	312
926	3908	307
927	3912	303
928	3916	299
929	3920	295
930	3923	290
931	3927	286
932	3931	282
933	3935	278
934	3939	273
935	3943	269
936	3947	265
937	3951	261
938	3955	256
939	3959	252
940	3963	248
941	3967	244
942	3971	240
943	3975	235
944	3978	231
945	3982	227
946	3986	223
947	3990	218
948	3994	214
949	3997	210
950	4001	206
951	4005	201
952	4009	197
953	4013	193
954	4016	189
955	4020	185
956	4025	180
957	4029	176
958	4032	172
959	4036	168
960	4040	163
961	4044	159
962	4048	155
963	4052	151
964	4056	147
965	4060	142
966	4063	138
967	4067	134
968	4071	130
969	4075	126
970	4079	121
971	4082	117
972	4086	113
973	4090	109
974	4095	105
975	4098	100
976	4102	96
977	4106	92
978	4110	88
979	4114	83
980	4118	79
981	4122	75
982	4126	71
983	4130	67
984	4133	62
985	4137	58
986	4141	54
987	4145	50
988	4149	46
989	4153	41
990	4157	37
991	4160	33
992	4164	29
993	4168	25
994	4172	20
995	4176	16
996	4180	12
997	4184	8
998	4187	4
999	4191	0
